T=12: ((Robot(R1), Node(86), ->Node(53), 0),(Robot(R2), Node(101), ->Node(101), 1),(Robot(R3), Node(83), ->Node(35), 0),(Robot(R4), Node(69), ->Node(32), 0),(Robot(R5), Node(54), ->Node(54), 1),(Robot(R6), Node(29), ->Node(29), 1),(Robot(R7), Node(92), ->Node(6), 0),(Robot(R8), Node(82), ->Node(38), 0),(Robot(R9), Node(9), ->Node(9), 8)) & ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R5): Node(54)->Node(21)),(Robot(R6): Node(29)->Node(95)),(None: None->None),(None: None->None),(Robot(R9): Node(9)->Node(43))) -> 0.22619047619047628, ((Robot(R1), Node(86), ->Node(53), 0),(Robot(R2), Node(101), ->Node(101), 0),(Robot(R3), Node(83), ->Node(35), 0),(Robot(R4), Node(69), ->Node(32), 0),(Robot(R5), Node(54), ->Node(54), 0),(Robot(R6), Node(29), ->Node(29), 0),(Robot(R7), Node(92), ->Node(6), 0),(Robot(R8), Node(82), ->Node(38), 0),(Robot(R9), Node(9), ->Node(9), 7))
T=13: ((Robot(R1), Node(86), ->Node(53), 0),(Robot(R2), Node(101), ->Node(101), 0),(Robot(R3), Node(83), ->Node(35), 0),(Robot(R4), Node(69), ->Node(32), 0),(Robot(R5), Node(54), ->Node(54), 0),(Robot(R6), Node(29), ->Node(29), 0),(Robot(R7), Node(92), ->Node(6), 0),(Robot(R8), Node(82), ->Node(38), 0),(Robot(R9), Node(9), ->Node(9), 7)) & ((None: None->None),(Robot(R2): Node(101)->Node(61)),(None: None->None),(None: None->None),(Robot(R5): Node(54)->Node(21)),(Robot(R6): Node(29)->Node(95)),(Robot(R7): Node(92)->Node(26)),(None: None->None),(Robot(R9): Node(9)->Node(43))) -> -3.0, ((Robot(R1), Node(86), ->Node(53), 0),(Robot(R2), Node(61), ->Node(85), 0),(Robot(R3), Node(83), ->Node(35), 0),(Robot(R4), Node(69), ->Node(32), 0),(Robot(R5), Node(21), ->Node(62), 0),(Robot(R6), Node(95), ->Node(8), 0),(Robot(R7), Node(26), ->Node(6), 0),(Robot(R8), Node(82), ->Node(38), 0),(Robot(R9), Node(9), ->Node(9), 6))
T=14: ((Robot(R1), Node(86), ->Node(53), 0),(Robot(R2), Node(61), ->Node(85), 0),(Robot(R3), Node(83), ->Node(35), 0),(Robot(R4), Node(69), ->Node(32), 0),(Robot(R5), Node(21), ->Node(62), 0),(Robot(R6), Node(95), ->Node(8), 0),(Robot(R7), Node(26), ->Node(6), 0),(Robot(R8), Node(82), ->Node(38), 0),(Robot(R9), Node(9), ->Node(9), 6)) & ((None: None->None),(Robot(R2): Node(61)->Node(30)),(None: None->None),(None: None->None),(Robot(R5): Node(21)->Node(87)),(Robot(R6): Node(95)->Node(35)),(Robot(R7): Node(26)->Node(58)),(None: None->None),(Robot(R9): Node(9)->Node(43))) -> -3.2142857142857144, ((Robot(R1), Node(86), ->Node(53), 0),(Robot(R2), Node(30), ->Node(85), 0),(Robot(R3), Node(83), ->Node(35), 0),(Robot(R4), Node(69), ->Node(32), 0),(Robot(R5), Node(87), ->Node(62), 0),(Robot(R6), Node(35), ->Node(8), 0),(Robot(R7), Node(58), ->Node(6), 0),(Robot(R8), Node(82), ->Node(38), 0),(Robot(R9), Node(9), ->Node(9), 5))
T=15: ((Robot(R1), Node(86), ->Node(53), 0),(Robot(R2), Node(30), ->Node(85), 0),(Robot(R3), Node(83), ->Node(35), 0),(Robot(R4), Node(69), ->Node(32), 0),(Robot(R5), Node(87), ->Node(62), 0),(Robot(R6), Node(35), ->Node(8), 0),(Robot(R7), Node(58), ->Node(6), 0),(Robot(R8), Node(82), ->Node(38), 0),(Robot(R9), Node(9), ->Node(9), 5)) & ((None: None->None),(Robot(R2): Node(30)->Node(90)),(Robot(R3): Node(83)->Node(23)),(None: None->None),(None: None->None),(Robot(R6): Node(35)->Node(65)),(Robot(R7): Node(58)->Node(27)),(None: None->None),(Robot(R9): Node(9)->Node(43))) -> -3.4682539682539684, ((Robot(R1), Node(86), ->Node(53), 0),(Robot(R2), Node(90), ->Node(85), 0),(Robot(R3), Node(23), ->Node(35), 0),(Robot(R4), Node(69), ->Node(32), 0),(Robot(R5), Node(87), ->Node(62), 0),(Robot(R6), Node(65), ->Node(8), 0),(Robot(R7), Node(27), ->Node(6), 0),(Robot(R8), Node(82), ->Node(38), 0),(Robot(R9), Node(9), ->Node(9), 4))
T=16: ((Robot(R1), Node(86), ->Node(53), 0),(Robot(R2), Node(90), ->Node(85), 0),(Robot(R3), Node(23), ->Node(35), 0),(Robot(R4), Node(69), ->Node(32), 0),(Robot(R5), Node(87), ->Node(62), 0),(Robot(R6), Node(65), ->Node(8), 0),(Robot(R7), Node(27), ->Node(6), 0),(Robot(R8), Node(82), ->Node(38), 0),(Robot(R9), Node(9), ->Node(9), 4)) & ((None: None->None),(Robot(R2): Node(90)->Node(24)),(Robot(R3): Node(23)->Node(89)),(None: None->None),(None: None->None),(Robot(R6): Node(65)->Node(34)),(Robot(R7): Node(27)->Node(59)),(None: None->None),(Robot(R9): Node(9)->Node(43))) -> -3.7222222222222223, ((Robot(R1), Node(86), ->Node(53), 0),(Robot(R2), Node(24), ->Node(85), 0),(Robot(R3), Node(89), ->Node(35), 0),(Robot(R4), Node(69), ->Node(32), 0),(Robot(R5), Node(87), ->Node(62), 0),(Robot(R6), Node(34), ->Node(8), 0),(Robot(R7), Node(59), ->Node(6), 0),(Robot(R8), Node(82), ->Node(38), 0),(Robot(R9), Node(9), ->Node(9), 3))
T=17: ((Robot(R1), Node(86), ->Node(53), 0),(Robot(R2), Node(24), ->Node(85), 0),(Robot(R3), Node(89), ->Node(35), 0),(Robot(R4), Node(69), ->Node(32), 0),(Robot(R5), Node(87), ->Node(62), 0),(Robot(R6), Node(34), ->Node(8), 0),(Robot(R7), Node(59), ->Node(6), 0),(Robot(R8), Node(82), ->Node(38), 0),(Robot(R9), Node(9), ->Node(9), 3)) & ((None: None->None),(Robot(R2): Node(24)->Node(56)),(Robot(R3): Node(89)->Node(29)),(None: None->None),(None: None->None),(Robot(R6): Node(34)->Node(94)),(None: None->None),(None: None->None),(Robot(R9): Node(9)->Node(43))) -> -4.0476190476190474, ((Robot(R1), Node(86), ->Node(53), 0),(Robot(R2), Node(56), ->Node(85), 0),(Robot(R3), Node(29), ->Node(35), 0),(Robot(R4), Node(69), ->Node(32), 0),(Robot(R5), Node(87), ->Node(62), 0),(Robot(R6), Node(94), ->Node(8), 0),(Robot(R7), Node(59), ->Node(6), 0),(Robot(R8), Node(82), ->Node(38), 0),(Robot(R9), Node(9), ->Node(9), 2))
T=18: ((Robot(R1), Node(86), ->Node(53), 0),(Robot(R2), Node(56), ->Node(85), 0),(Robot(R3), Node(29), ->Node(35), 0),(Robot(R4), Node(69), ->Node(32), 0),(Robot(R5), Node(87), ->Node(62), 0),(Robot(R6), Node(94), ->Node(8), 0),(Robot(R7), Node(59), ->Node(6), 0),(Robot(R8), Node(82), ->Node(38), 0),(Robot(R9), Node(9), ->Node(9), 2)) & ((None: None->None),(Robot(R2): Node(56)->Node(25)),(Robot(R3): Node(29)->Node(95)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R9): Node(9)->Node(43))) -> -4.360410830999067, ((Robot(R1), Node(86), ->Node(53), 0),(Robot(R2), Node(25), ->Node(85), 0),(Robot(R3), Node(95), ->Node(35), 0),(Robot(R4), Node(69), ->Node(32), 0),(Robot(R5), Node(87), ->Node(62), 0),(Robot(R6), Node(94), ->Node(8), 0),(Robot(R7), Node(59), ->Node(6), 0),(Robot(R8), Node(82), ->Node(38), 0),(Robot(R9), Node(9), ->Node(9), 1))
T=19: ((Robot(R1), Node(86), ->Node(53), 0),(Robot(R2), Node(25), ->Node(85), 0),(Robot(R3), Node(95), ->Node(35), 0),(Robot(R4), Node(69), ->Node(32), 0),(Robot(R5), Node(87), ->Node(62), 0),(Robot(R6), Node(94), ->Node(8), 0),(Robot(R7), Node(59), ->Node(6), 0),(Robot(R8), Node(82), ->Node(38), 0),(Robot(R9), Node(9), ->Node(9), 1)) & ((None: None->None),(Robot(R2): Node(25)->Node(57)),(Robot(R3): Node(95)->Node(35)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R9): Node(9)->Node(43))) -> -3.2521499828001375, ((Robot(R1), Node(86), ->Node(53), 0),(Robot(R2), Node(57), ->Node(85), 0),(Robot(R3), Node(35), ->Node(35), 0),(Robot(R4), Node(69), ->Node(32), 0),(Robot(R5), Node(87), ->Node(62), 0),(Robot(R6), Node(94), ->Node(8), 0),(Robot(R7), Node(59), ->Node(6), 0),(Robot(R8), Node(82), ->Node(38), 0),(Robot(R9), Node(9), ->Node(9), 0))
T=20: ((Robot(R1), Node(86), ->Node(53), 0),(Robot(R2), Node(57), ->Node(85), 0),(Robot(R3), Node(35), ->Node(35), 0),(Robot(R4), Node(69), ->Node(32), 0),(Robot(R5), Node(87), ->Node(62), 0),(Robot(R6), Node(94), ->Node(8), 0),(Robot(R7), Node(59), ->Node(6), 0),(Robot(R8), Node(82), ->Node(38), 0),(Robot(R9), Node(9), ->Node(9), 0)) & ((None: None->None),(Robot(R2): Node(57)->Node(26)),(None: None->None),(Robot(R4): Node(69)->Node(9)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R9): Node(9)->Node(43))) -> -5.176470588235294, ((Robot(R1), Node(86), ->Node(53), 0),(Robot(R2), Node(26), ->Node(85), 0),(Robot(R3), Node(35), ->Node(105), 0),(Robot(R4), Node(9), ->Node(32), 0),(Robot(R5), Node(87), ->Node(62), 0),(Robot(R6), Node(94), ->Node(8), 0),(Robot(R7), Node(59), ->Node(6), 0),(Robot(R8), Node(82), ->Node(38), 0),(Robot(R9), Node(43), ->Node(13), 0))
T=21: ((Robot(R1), Node(86), ->Node(53), 0),(Robot(R2), Node(26), ->Node(85), 0),(Robot(R3), Node(35), ->Node(105), 0),(Robot(R4), Node(9), ->Node(32), 0),(Robot(R5), Node(87), ->Node(62), 0),(Robot(R6), Node(94), ->Node(8), 0),(Robot(R7), Node(59), ->Node(6), 0),(Robot(R8), Node(82), ->Node(38), 0),(Robot(R9), Node(43), ->Node(13), 0)) & ((None: None->None),(Robot(R2): Node(26)->Node(58)),(None: None->None),(Robot(R4): Node(9)->Node(75)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R9): Node(43)->Node(8))) -> -5.751167133520075, ((Robot(R1), Node(86), ->Node(53), 0),(Robot(R2), Node(58), ->Node(85), 0),(Robot(R3), Node(35), ->Node(105), 0),(Robot(R4), Node(75), ->Node(32), 0),(Robot(R5), Node(87), ->Node(62), 0),(Robot(R6), Node(94), ->Node(8), 0),(Robot(R7), Node(59), ->Node(6), 0),(Robot(R8), Node(82), ->Node(38), 0),(Robot(R9), Node(8), ->Node(13), 0))
