Eps    1: ENVT  101: ENVR   -204.9 :EC  0:TS  101: R   -278.0 :eps 1.000:Act ((Robot(R1): Node(25)->Node(57)),(Robot(R2): Node(24)->Node(56)),(Robot(R3): Node(32)->Node(62)),(Robot(R4): Node(21)->Node(53)),(Robot(R5): Node(69)->Node(9)),(Robot(R6): Node(10)->Node(44)),(Robot(R7): Node(105)->Node(65)),(Robot(R8): Node(76)->Node(10)),(Robot(R9): Node(41)->Node(6))) 
Eps  863: ENVT  101: ENVR   -395.0 :EC  0:TS  101: R   -360.0 :eps 0.000:Act ((None: None->None),(Robot(R2): Node(97)->Node(37)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  864: ENVT  101: ENVR   -395.0 :EC  0:TS  101: R   -398.2 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  865: ENVT  101: ENVR   -370.7 :EC  0:TS  101: R   -387.6 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  866: ENVT  101: ENVR   -370.7 :EC  0:TS  101: R   -349.8 :eps 0.000:Act ((None: None->None),(Robot(R2): Node(11)->Node(45)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  867: ENVT  101: ENVR   -370.7 :EC  0:TS  101: R   -374.2 :eps 0.000:Act ((Robot(R1): Node(64)->Node(33)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R8): Node(104)->Node(64)),(Robot(R9): Node(50)->Node(17))) 
Eps  868: ENVT  101: ENVR   -370.7 :EC  0:TS  101: R   -381.0 :eps 0.000:Act ((None: None->None),(None: None->None),(Robot(R3): Node(37)->Node(97)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  869: ENVT  101: ENVR   -370.7 :EC  0:TS  101: R   -354.3 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  870: ENVT  101: ENVR   -422.7 :EC  0:TS  101: R   -420.8 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  871: ENVT  101: ENVR   -422.7 :EC  0:TS  101: R   -254.0 :eps 0.000:Act ((None: None->None),(Robot(R2): Node(7)->Node(73)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R7): Node(10)->Node(44)),(Robot(R8): Node(18)->Node(78)),(None: None->None)) 
Eps  872: ENVT  101: ENVR   -422.7 :EC  0:TS  101: R   -430.4 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  873: ENVT  101: ENVR   -422.7 :EC  0:TS  101: R   -386.0 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  874: ENVT  101: ENVR   -422.7 :EC  0:TS  101: R   -338.3 :eps 0.000:Act ((None: None->None),(Robot(R2): Node(13)->Node(47)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  875: ENVT  101: ENVR   -383.9 :EC  0:TS  101: R   -326.6 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  876: ENVT  101: ENVR   -383.9 :EC  0:TS  101: R   -368.0 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  877: ENVT  101: ENVR   -383.9 :EC  0:TS  101: R   -390.3 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  878: ENVT  101: ENVR   -383.9 :EC  0:TS  101: R   -363.2 :eps 0.000:Act ((Robot(R1): Node(12)->Node(72)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  879: ENVT  101: ENVR   -383.9 :EC  0:TS  101: R   -372.5 :eps 0.000:Act ((None: None->None),(None: None->None),(Robot(R3): Node(6)->Node(66)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  880: ENVT  101: ENVR   -444.2 :EC  0:TS  101: R   -432.6 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  881: ENVT  101: ENVR   -444.2 :EC  0:TS  101: R   -400.4 :eps 0.000:Act ((Robot(R1): Node(10)->Node(44)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  882: ENVT  101: ENVR   -444.2 :EC  0:TS  101: R   -358.0 :eps 0.000:Act ((Robot(R1): Node(62)->Node(31)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  883: ENVT  101: ENVR   -444.2 :EC  0:TS  101: R   -321.7 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  884: ENVT  101: ENVR   -444.2 :EC  0:TS  101: R   -386.4 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(Robot(R4): Node(55)->Node(22)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  885: ENVT  101: ENVR   -325.2 :EC  0:TS  101: R   -315.8 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  886: ENVT  101: ENVR   -325.2 :EC  0:TS  101: R   -403.8 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R5): Node(18)->Node(78)),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  887: ENVT  101: ENVR   -325.2 :EC  0:TS  101: R   -285.0 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  888: ENVT  101: ENVR   -325.2 :EC  0:TS  101: R   -406.8 :eps 0.000:Act ((None: None->None),(Robot(R2): Node(99)->Node(39)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  889: ENVT  101: ENVR   -325.2 :EC  0:TS  101: R   -418.4 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  890: ENVT  101: ENVR   -339.1 :EC  0:TS  101: R   -355.9 :eps 0.000:Act ((Robot(R1): Node(97)->Node(37)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R7): Node(26)->Node(58)),(None: None->None),(None: None->None)) 
Eps  891: ENVT  101: ENVR   -339.1 :EC  0:TS  101: R   -374.2 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  892: ENVT  101: ENVR   -339.1 :EC  0:TS  101: R   -473.4 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R6): Node(84)->Node(18)),(Robot(R7): Node(18)->Node(78)),(None: None->None),(None: None->None)) 
Eps  893: ENVT  101: ENVR   -339.1 :EC  0:TS  101: R   -334.6 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  894: ENVT  101: ENVR   -339.1 :EC  0:TS  101: R   -333.7 :eps 0.000:Act ((None: None->None),(None: None->None),(Robot(R3): Node(30)->Node(90)),(None: None->None),(None: None->None),(Robot(R6): Node(56)->Node(25)),(Robot(R7): Node(23)->Node(89)),(None: None->None),(None: None->None)) 
Eps  895: ENVT  101: ENVR   -432.2 :EC  0:TS  101: R   -425.2 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  896: ENVT  101: ENVR   -432.2 :EC  0:TS  101: R   -313.2 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  897: ENVT  101: ENVR   -432.2 :EC  0:TS  101: R   -376.3 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  898: ENVT  101: ENVR   -432.2 :EC  0:TS  101: R   -365.3 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  899: ENVT  101: ENVR   -432.2 :EC  0:TS  101: R   -306.6 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R5): Node(10)->Node(44)),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  900: ENVT  101: ENVR   -392.6 :EC  0:TS  101: R   -391.9 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  901: ENVT  101: ENVR   -392.6 :EC  0:TS  101: R   -408.5 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  902: ENVT  101: ENVR   -392.6 :EC  0:TS  101: R   -372.9 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  903: ENVT  101: ENVR   -392.6 :EC  0:TS  101: R   -283.7 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  904: ENVT  101: ENVR   -392.6 :EC  0:TS  101: R   -333.7 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  905: ENVT  101: ENVR   -399.1 :EC  0:TS  101: R   -370.0 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  906: ENVT  101: ENVR   -399.1 :EC  0:TS  101: R   -336.8 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R7): Node(39)->Node(4)),(None: None->None),(None: None->None)) 
Eps  907: ENVT  101: ENVR   -399.1 :EC  0:TS  101: R   -346.1 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  908: ENVT  101: ENVR   -399.1 :EC  0:TS  101: R   -383.3 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R8): Node(81)->Node(21)),(None: None->None)) 
Eps  909: ENVT  101: ENVR   -399.1 :EC  0:TS  101: R   -413.8 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  910: ENVT  101: ENVR   -436.5 :EC  0:TS  101: R   -428.2 :eps 0.000:Act ((None: None->None),(None: None->None),(Robot(R3): Node(38)->Node(98)),(None: None->None),(Robot(R5): Node(18)->Node(78)),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  911: ENVT  101: ENVR   -436.5 :EC  0:TS  101: R   -402.5 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  912: ENVT  101: ENVR   -436.5 :EC  0:TS  101: R   -397.3 :eps 0.000:Act ((None: None->None),(None: None->None),(Robot(R3): Node(68)->Node(2)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R9): Node(61)->Node(30))) 
Eps  913: ENVT  101: ENVR   -436.5 :EC  0:TS  101: R   -376.5 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  914: ENVT  101: ENVR   -436.5 :EC  0:TS  101: R   -315.4 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R6): Node(64)->Node(104)),(None: None->None),(None: None->None),(None: None->None)) 
Eps  915: ENVT  101: ENVR   -404.3 :EC  0:TS  101: R   -402.8 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R9): Node(6)->Node(66))) 
Eps  916: ENVT  101: ENVR   -404.3 :EC  0:TS  101: R   -357.0 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  917: ENVT  101: ENVR   -404.3 :EC  0:TS  101: R   -259.5 :eps 0.000:Act ((Robot(R1): Node(63)->Node(103)),(None: None->None),(None: None->None),(Robot(R4): Node(43)->Node(8)),(Robot(R5): Node(104)->Node(64)),(None: None->None),(None: None->None),(Robot(R8): Node(8)->Node(42)),(Robot(R9): Node(51)->Node(18))) 
Eps  918: ENVT  101: ENVR   -404.3 :EC  0:TS  101: R   -335.4 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R6): Node(102)->Node(62)),(None: None->None),(None: None->None),(None: None->None)) 
Eps  919: ENVT  101: ENVR   -404.3 :EC  0:TS  101: R   -394.0 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  920: ENVT  101: ENVR   -394.7 :EC  0:TS  101: R   -393.3 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R6): Node(37)->Node(97)),(None: None->None),(None: None->None),(None: None->None)) 
Eps  921: ENVT  101: ENVR   -394.7 :EC  0:TS  101: R   -393.0 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  922: ENVT  101: ENVR   -394.7 :EC  0:TS  101: R   -342.7 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  923: ENVT  101: ENVR   -394.7 :EC  0:TS  101: R   -324.6 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(Robot(R4): Node(16)->Node(76)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  924: ENVT  101: ENVR   -394.7 :EC  0:TS  101: R   -449.1 :eps 0.000:Act ((None: None->None),(Robot(R2): Node(71)->Node(11)),(None: None->None),(Robot(R4): Node(46)->Node(13)),(None: None->None),(None: None->None),(Robot(R7): Node(78)->Node(12)),(None: None->None),(Robot(R9): Node(23)->Node(55))) 
Eps  925: ENVT  101: ENVR   -405.2 :EC  0:TS  101: R   -404.7 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  926: ENVT  101: ENVR   -405.2 :EC  0:TS  101: R   -476.3 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  927: ENVT  101: ENVR   -405.2 :EC  0:TS  101: R   -410.0 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  928: ENVT  101: ENVR   -405.2 :EC  0:TS  101: R   -342.4 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(Robot(R4): Node(99)->Node(39)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  929: ENVT  101: ENVR   -405.2 :EC  0:TS  101: R   -411.1 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  930: ENVT  101: ENVR   -360.3 :EC  0:TS  101: R   -345.7 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  931: ENVT  101: ENVR   -360.3 :EC  0:TS  101: R   -314.5 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  932: ENVT  101: ENVR   -360.3 :EC  0:TS  101: R   -369.9 :eps 0.000:Act ((None: None->None),(Robot(R2): Node(13)->Node(47)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  933: ENVT  101: ENVR   -360.3 :EC  0:TS  101: R   -401.3 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  934: ENVT  101: ENVR   -360.3 :EC  0:TS  101: R   -451.4 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  935: ENVT  101: ENVR   -392.1 :EC  0:TS  101: R   -386.9 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  936: ENVT  101: ENVR   -392.1 :EC  0:TS  101: R   -412.6 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  937: ENVT  101: ENVR   -392.1 :EC  0:TS  101: R   -377.0 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  938: ENVT  101: ENVR   -392.1 :EC  0:TS  101: R   -368.5 :eps 0.000:Act ((Robot(R1): Node(28)->Node(88)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  939: ENVT  101: ENVR   -392.1 :EC  0:TS  101: R   -407.7 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  940: ENVT  101: ENVR   -416.9 :EC  0:TS  101: R   -378.7 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R5): Node(62)->Node(31)),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  941: ENVT  101: ENVR   -416.9 :EC  0:TS  101: R   -368.5 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  942: ENVT  101: ENVR   -416.9 :EC  0:TS  101: R   -344.5 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R8): Node(41)->Node(6)),(None: None->None)) 
Eps  943: ENVT  101: ENVR   -416.9 :EC  0:TS  101: R   -381.8 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  944: ENVT  101: ENVR   -416.9 :EC  0:TS  101: R   -393.1 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  945: ENVT  101: ENVR   -431.5 :EC  0:TS  101: R   -439.5 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  946: ENVT  101: ENVR   -431.5 :EC  0:TS  101: R   -409.9 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(Robot(R4): Node(13)->Node(47)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  947: ENVT  101: ENVR   -431.5 :EC  0:TS  101: R   -398.1 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  948: ENVT  101: ENVR   -431.5 :EC  0:TS  101: R   -301.6 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  949: ENVT  101: ENVR   -431.5 :EC  0:TS  101: R   -322.6 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  950: ENVT  101: ENVR   -407.4 :EC  0:TS  101: R   -436.5 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R8): Node(14)->Node(48)),(None: None->None)) 
Eps  951: ENVT  101: ENVR   -407.4 :EC  0:TS  101: R   -437.2 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  952: ENVT  101: ENVR   -407.4 :EC  0:TS  101: R   -373.0 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  953: ENVT  101: ENVR   -407.4 :EC  0:TS  101: R   -374.2 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  954: ENVT  101: ENVR   -407.4 :EC  0:TS  101: R   -386.6 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  955: ENVT  101: ENVR   -389.8 :EC  0:TS  101: R   -396.5 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  956: ENVT  101: ENVR   -389.8 :EC  0:TS  101: R   -453.0 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(Robot(R4): Node(40)->Node(5)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  957: ENVT  101: ENVR   -389.8 :EC  0:TS  101: R   -402.6 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  958: ENVT  101: ENVR   -389.8 :EC  0:TS  101: R   -349.4 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  959: ENVT  101: ENVR   -389.8 :EC  0:TS  101: R   -369.7 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  960: ENVT  101: ENVR   -320.3 :EC  0:TS  101: R   -295.1 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  961: ENVT  101: ENVR   -320.3 :EC  0:TS  101: R   -379.2 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  962: ENVT  101: ENVR   -320.3 :EC  0:TS  101: R   -415.2 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  963: ENVT  101: ENVR   -320.3 :EC  0:TS  101: R   -453.3 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  964: ENVT  101: ENVR   -320.3 :EC  0:TS  101: R   -385.1 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  965: ENVT  101: ENVR   -310.5 :EC  0:TS  101: R   -258.9 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R9): Node(2)->Node(38))) 
Eps  966: ENVT  101: ENVR   -310.5 :EC  0:TS  101: R   -357.8 :eps 0.000:Act ((None: None->None),(None: None->None),(Robot(R3): Node(34)->Node(64)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  967: ENVT  101: ENVR   -310.5 :EC  0:TS  101: R   -282.2 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R7): Node(51)->Node(18)),(None: None->None),(Robot(R9): Node(13)->Node(79))) 
Eps  968: ENVT  101: ENVR   -310.5 :EC  0:TS  101: R   -309.6 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R8): Node(19)->Node(51)),(None: None->None)) 
Eps  969: ENVT  101: ENVR   -310.5 :EC  0:TS  101: R   -335.1 :eps 0.000:Act ((Robot(R1): Node(23)->Node(89)),(None: None->None),(None: None->None),(None: None->None),(Robot(R5): Node(85)->Node(25)),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps  970: ENVT  101: ENVR   -308.2 :EC  0:TS  101: R   -348.8 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R8): Node(51)->Node(18)),(None: None->None)) 
Eps  971: ENVT  101: ENVR   -308.2 :EC  0:TS  101: R   -398.1 :eps 0.000:Act ((Robot(R1): Node(27)->Node(93)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
