Eps    1: ENVT  101: ENVR   -204.9 :EC  0:TS  101: R   -278.0 :eps 1.000:Act ((Robot(R1): Node(25)->Node(57)),(Robot(R2): Node(24)->Node(56)),(Robot(R3): Node(32)->Node(62)),(Robot(R4): Node(21)->Node(53)),(Robot(R5): Node(69)->Node(9)),(Robot(R6): Node(10)->Node(44)),(Robot(R7): Node(105)->Node(65)),(Robot(R8): Node(76)->Node(10)),(Robot(R9): Node(41)->Node(6))) 
Eps   20: ENVT  101: ENVR   -221.5 :EC  0:TS  101: R   -226.9 :eps 0.000:Act ((None: None->None),(Robot(R2): Node(54)->Node(21)),(Robot(R3): Node(8)->Node(42)),(Robot(R4): Node(10)->Node(70)),(None: None->None),(Robot(R6): Node(47)->Node(14)),(Robot(R7): Node(9)->Node(43)),(None: None->None),(Robot(R9): Node(58)->Node(27))) 
Eps   21: ENVT  101: ENVR   -221.5 :EC  0:TS  101: R   -297.8 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps   22: ENVT  101: ENVR   -221.5 :EC  0:TS  101: R   -386.7 :eps 0.000:Act ((Robot(R1): Node(12)->Node(46)),(Robot(R2): Node(95)->Node(35)),(Robot(R3): Node(53)->Node(20)),(Robot(R4): Node(16)->Node(50)),(Robot(R5): Node(19)->Node(85)),(Robot(R6): Node(13)->Node(47)),(None: None->None),(Robot(R8): Node(14)->Node(48)),(Robot(R9): Node(15)->Node(49))) 
Eps   23: ENVT  101: ENVR   -221.5 :EC  0:TS  101: R   -199.4 :eps 0.000:Act ((Robot(R1): Node(95)->Node(35)),(None: None->None),(Robot(R3): Node(63)->Node(103)),(Robot(R4): Node(10)->Node(70)),(Robot(R5): Node(61)->Node(30)),(Robot(R6): Node(88)->Node(22)),(Robot(R7): Node(5)->Node(71)),(Robot(R8): Node(96)->Node(36)),(None: None->None)) 
Eps   24: ENVT  101: ENVR   -221.5 :EC  0:TS  101: R   -253.7 :eps 0.000:Act ((Robot(R1): Node(24)->Node(84)),(Robot(R2): Node(43)->Node(8)),(None: None->None),(Robot(R4): Node(8)->Node(68)),(None: None->None),(Robot(R6): Node(14)->Node(74)),(Robot(R7): Node(38)->Node(98)),(None: None->None),(Robot(R9): Node(64)->Node(104))) 
Eps   25: ENVT  101: ENVR   -275.1 :EC  0:TS  101: R   -300.0 :eps 0.000:Act ((Robot(R1): Node(28)->Node(88)),(None: None->None),(Robot(R3): Node(46)->Node(13)),(Robot(R4): Node(4)->Node(40)),(Robot(R5): Node(20)->Node(80)),(Robot(R6): Node(39)->Node(4)),(Robot(R7): Node(21)->Node(53)),(Robot(R8): Node(14)->Node(48)),(Robot(R9): Node(105)->Node(65))) 
Eps   26: ENVT  101: ENVR   -275.1 :EC  0:TS  101: R   -342.9 :eps 0.000:Act ((Robot(R1): Node(44)->Node(9)),(None: None->None),(Robot(R3): Node(103)->Node(63)),(None: None->None),(Robot(R5): Node(8)->Node(68)),(None: None->None),(None: None->None),(Robot(R8): Node(9)->Node(43)),(None: None->None)) 
Eps   27: ENVT  101: ENVR   -275.1 :EC  0:TS  101: R   -179.3 :eps 0.000:Act ((Robot(R1): Node(59)->Node(28)),(Robot(R2): Node(37)->Node(2)),(None: None->None),(Robot(R4): Node(3)->Node(69)),(Robot(R5): Node(40)->Node(5)),(Robot(R6): Node(49)->Node(16)),(None: None->None),(Robot(R8): Node(16)->Node(50)),(None: None->None)) 
Eps   28: ENVT  101: ENVR   -275.1 :EC  0:TS  101: R   -314.8 :eps 0.000:Act ((Robot(R1): Node(42)->Node(7)),(None: None->None),(Robot(R3): Node(63)->Node(32)),(Robot(R4): Node(0)->Node(36)),(Robot(R5): Node(31)->Node(61)),(None: None->None),(Robot(R7): Node(61)->Node(30)),(Robot(R8): Node(16)->Node(76)),(Robot(R9): Node(102)->Node(62))) 
Eps   29: ENVT  101: ENVR   -275.1 :EC  0:TS  101: R   -192.4 :eps 0.000:Act ((Robot(R1): Node(51)->Node(18)),(Robot(R2): Node(88)->Node(22)),(None: None->None),(Robot(R4): Node(96)->Node(36)),(None: None->None),(Robot(R6): Node(78)->Node(12)),(Robot(R7): Node(98)->Node(38)),(None: None->None),(Robot(R9): Node(38)->Node(3))) 
Eps   30: ENVT  101: ENVR   -348.2 :EC  0:TS  101: R   -233.1 :eps 0.000:Act ((None: None->None),(Robot(R2): Node(87)->Node(27)),(Robot(R3): Node(19)->Node(85)),(None: None->None),(None: None->None),(None: None->None),(Robot(R7): Node(23)->Node(89)),(None: None->None),(None: None->None)) 
Eps   31: ENVT  101: ENVR   -348.2 :EC  0:TS  101: R   -359.0 :eps 0.000:Act ((Robot(R1): Node(13)->Node(47)),(Robot(R2): Node(41)->Node(6)),(Robot(R3): Node(7)->Node(41)),(Robot(R4): Node(8)->Node(68)),(Robot(R5): Node(29)->Node(95)),(Robot(R6): Node(38)->Node(3)),(Robot(R7): Node(59)->Node(28)),(Robot(R8): Node(48)->Node(15)),(None: None->None)) 
Eps   32: ENVT  101: ENVR   -348.2 :EC  0:TS  101: R   -281.2 :eps 0.000:Act ((Robot(R1): Node(88)->Node(22)),(Robot(R2): Node(30)->Node(90)),(Robot(R3): Node(12)->Node(72)),(Robot(R4): Node(31)->Node(61)),(None: None->None),(Robot(R6): Node(103)->Node(63)),(Robot(R7): Node(62)->Node(31)),(Robot(R8): Node(25)->Node(91)),(Robot(R9): Node(1)->Node(67))) 
Eps   33: ENVT  101: ENVR   -348.2 :EC  0:TS  101: R   -199.6 :eps 0.000:Act ((Robot(R1): Node(63)->Node(103)),(Robot(R2): Node(90)->Node(24)),(Robot(R3): Node(54)->Node(21)),(Robot(R4): Node(98)->Node(38)),(None: None->None),(Robot(R6): Node(56)->Node(25)),(Robot(R7): Node(64)->Node(104)),(Robot(R8): Node(61)->Node(30)),(None: None->None)) 
Eps   34: ENVT  101: ENVR   -348.2 :EC  0:TS  101: R   -221.3 :eps 0.000:Act ((Robot(R1): Node(46)->Node(13)),(Robot(R2): Node(51)->Node(18)),(Robot(R3): Node(6)->Node(66)),(None: None->None),(Robot(R5): Node(78)->Node(12)),(Robot(R6): Node(27)->Node(93)),(Robot(R7): Node(63)->Node(103)),(Robot(R8): Node(95)->Node(35)),(Robot(R9): Node(105)->Node(65))) 
Eps   35: ENVT  101: ENVR   -233.7 :EC  0:TS  101: R   -252.8 :eps 0.000:Act ((Robot(R1): Node(90)->Node(24)),(Robot(R2): Node(8)->Node(68)),(Robot(R3): Node(1)->Node(37)),(None: None->None),(Robot(R5): Node(17)->Node(83)),(Robot(R6): Node(0)->Node(36)),(None: None->None),(Robot(R8): Node(33)->Node(63)),(Robot(R9): Node(20)->Node(80))) 
Eps   36: ENVT  101: ENVR   -233.7 :EC  0:TS  101: R   -387.9 :eps 0.000:Act ((Robot(R1): Node(71)->Node(11)),(Robot(R2): Node(1)->Node(37)),(Robot(R3): Node(0)->Node(36)),(Robot(R4): Node(100)->Node(40)),(Robot(R5): Node(24)->Node(84)),(None: None->None),(Robot(R7): Node(41)->Node(6)),(Robot(R8): Node(80)->Node(14)),(Robot(R9): Node(66)->Node(0))) 
Eps   37: ENVT  101: ENVR   -233.7 :EC  0:TS  101: R   -320.3 :eps 0.000:Act ((None: None->None),(Robot(R2): Node(64)->Node(104)),(Robot(R3): Node(8)->Node(68)),(Robot(R4): Node(88)->Node(22)),(Robot(R5): Node(73)->Node(13)),(Robot(R6): Node(71)->Node(11)),(None: None->None),(Robot(R8): Node(103)->Node(63)),(None: None->None)) 
Eps   38: ENVT  101: ENVR   -233.7 :EC  0:TS  101: R   -326.9 :eps 0.000:Act ((Robot(R1): Node(29)->Node(95)),(None: None->None),(Robot(R3): Node(71)->Node(11)),(None: None->None),(Robot(R5): Node(17)->Node(83)),(Robot(R6): Node(105)->Node(65)),(None: None->None),(Robot(R8): Node(65)->Node(105)),(None: None->None)) 
Eps   39: ENVT  101: ENVR   -233.7 :EC  0:TS  101: R   -353.4 :eps 0.000:Act ((Robot(R1): Node(64)->Node(33)),(Robot(R2): Node(65)->Node(34)),(Robot(R3): Node(105)->Node(65)),(None: None->None),(Robot(R5): Node(34)->Node(64)),(Robot(R6): Node(95)->Node(35)),(None: None->None),(Robot(R8): Node(35)->Node(65)),(None: None->None)) 
Eps   40: ENVT  101: ENVR   -319.5 :EC  0:TS  101: R   -376.9 :eps 0.000:Act ((None: None->None),(Robot(R2): Node(40)->Node(100)),(Robot(R3): Node(38)->Node(98)),(Robot(R4): Node(6)->Node(66)),(Robot(R5): Node(5)->Node(71)),(Robot(R6): Node(33)->Node(63)),(Robot(R7): Node(78)->Node(12)),(Robot(R8): Node(43)->Node(8)),(Robot(R9): Node(66)->Node(0))) 
Eps   41: ENVT  101: ENVR   -319.5 :EC  0:TS  101: R   -344.0 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps   42: ENVT  101: ENVR   -319.5 :EC  0:TS  101: R   -298.8 :eps 0.000:Act ((None: None->None),(Robot(R2): Node(5)->Node(71)),(None: None->None),(Robot(R4): Node(40)->Node(100)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps   43: ENVT  101: ENVR   -319.5 :EC  0:TS  101: R   -350.4 :eps 0.000:Act ((Robot(R1): Node(18)->Node(78)),(None: None->None),(Robot(R3): Node(65)->Node(105)),(Robot(R4): Node(10)->Node(44)),(Robot(R5): Node(94)->Node(28)),(None: None->None),(None: None->None),(None: None->None),(Robot(R9): Node(74)->Node(8))) 
Eps   44: ENVT  101: ENVR   -319.5 :EC  0:TS  101: R   -436.6 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps   45: ENVT  101: ENVR   -167.7 :EC  0:TS  101: R   -182.8 :eps 0.000:Act ((Robot(R1): Node(60)->Node(29)),(Robot(R2): Node(51)->Node(18)),(None: None->None),(Robot(R4): Node(56)->Node(25)),(Robot(R5): Node(63)->Node(32)),(Robot(R6): Node(50)->Node(17)),(Robot(R7): Node(31)->Node(61)),(Robot(R8): Node(30)->Node(90)),(Robot(R9): Node(32)->Node(62))) 
Eps   46: ENVT  101: ENVR   -167.7 :EC  0:TS  101: R   -355.4 :eps 0.000:Act ((Robot(R1): Node(76)->Node(10)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R8): Node(0)->Node(36)),(None: None->None)) 
Eps   47: ENVT  101: ENVR   -167.7 :EC  0:TS  101: R   -399.2 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(Robot(R4): Node(54)->Node(21)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R9): Node(48)->Node(15))) 
Eps   48: ENVT  101: ENVR   -167.7 :EC  0:TS  101: R   -355.8 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps   49: ENVT  101: ENVR   -167.7 :EC  0:TS  101: R   -422.2 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R7): Node(100)->Node(40)),(Robot(R8): Node(24)->Node(56)),(None: None->None)) 
Eps   50: ENVT  101: ENVR   -394.8 :EC  0:TS  101: R   -348.2 :eps 0.000:Act ((None: None->None),(None: None->None),(Robot(R3): Node(97)->Node(37)),(None: None->None),(Robot(R5): Node(10)->Node(44)),(None: None->None),(Robot(R7): Node(104)->Node(64)),(None: None->None),(Robot(R9): Node(68)->Node(2))) 
Eps   51: ENVT  101: ENVR   -394.8 :EC  0:TS  101: R   -386.2 :eps 0.000:Act ((None: None->None),(None: None->None),(Robot(R3): Node(36)->Node(96)),(None: None->None),(None: None->None),(Robot(R6): Node(28)->Node(60)),(Robot(R7): Node(60)->Node(29)),(None: None->None),(Robot(R9): Node(25)->Node(57))) 
Eps   52: ENVT  101: ENVR   -394.8 :EC  0:TS  101: R   -378.1 :eps 0.000:Act ((None: None->None),(None: None->None),(Robot(R3): Node(27)->Node(59)),(None: None->None),(None: None->None),(None: None->None),(Robot(R7): Node(25)->Node(91)),(Robot(R8): Node(32)->Node(92)),(None: None->None)) 
Eps   53: ENVT  101: ENVR   -394.8 :EC  0:TS  101: R   -330.6 :eps 0.000:Act ((Robot(R1): Node(26)->Node(86)),(None: None->None),(Robot(R3): Node(34)->Node(94)),(None: None->None),(Robot(R5): Node(5)->Node(71)),(None: None->None),(None: None->None),(None: None->None),(Robot(R9): Node(40)->Node(100))) 
Eps   54: ENVT  101: ENVR   -394.8 :EC  0:TS  101: R   -396.3 :eps 0.000:Act ((None: None->None),(None: None->None),(Robot(R3): Node(40)->Node(5)),(None: None->None),(None: None->None),(None: None->None),(Robot(R7): Node(96)->Node(36)),(None: None->None),(None: None->None)) 
Eps   55: ENVT  101: ENVR   -275.2 :EC  0:TS  101: R   -341.3 :eps 0.000:Act ((Robot(R1): Node(98)->Node(38)),(Robot(R2): Node(8)->Node(42)),(Robot(R3): Node(10)->Node(44)),(None: None->None),(None: None->None),(Robot(R6): Node(63)->Node(103)),(None: None->None),(Robot(R8): Node(9)->Node(43)),(None: None->None)) 
Eps   56: ENVT  101: ENVR   -275.2 :EC  0:TS  101: R   -435.8 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps   57: ENVT  101: ENVR   -275.2 :EC  0:TS  101: R   -352.4 :eps 0.000:Act ((Robot(R1): Node(30)->Node(90)),(None: None->None),(None: None->None),(None: None->None),(Robot(R5): Node(18)->Node(78)),(None: None->None),(None: None->None),(Robot(R8): Node(38)->Node(98)),(None: None->None)) 
Eps   58: ENVT  101: ENVR   -275.2 :EC  0:TS  101: R   -334.9 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(Robot(R4): Node(26)->Node(58)),(None: None->None),(Robot(R6): Node(57)->Node(26)),(None: None->None),(None: None->None),(None: None->None)) 
Eps   59: ENVT  101: ENVR   -275.2 :EC  0:TS  101: R   -327.5 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R6): Node(57)->Node(26)),(None: None->None),(None: None->None),(None: None->None)) 
Eps   60: ENVT  101: ENVR   -360.6 :EC  0:TS  101: R   -350.5 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps   61: ENVT  101: ENVR   -360.6 :EC  0:TS  101: R   -444.6 :eps 0.000:Act ((None: None->None),(Robot(R2): Node(37)->Node(2)),(Robot(R3): Node(7)->Node(41)),(Robot(R4): Node(45)->Node(10)),(Robot(R5): Node(6)->Node(66)),(Robot(R6): Node(97)->Node(37)),(None: None->None),(None: None->None),(None: None->None)) 
Eps   62: ENVT  101: ENVR   -360.6 :EC  0:TS  101: R   -414.8 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R5): Node(67)->Node(7)),(Robot(R6): Node(35)->Node(65)),(None: None->None),(Robot(R8): Node(7)->Node(41)),(None: None->None)) 
Eps   63: ENVT  101: ENVR   -360.6 :EC  0:TS  101: R   -341.8 :eps 0.000:Act ((None: None->None),(None: None->None),(Robot(R3): Node(28)->Node(60)),(Robot(R4): Node(56)->Node(25)),(None: None->None),(Robot(R6): Node(63)->Node(103)),(None: None->None),(None: None->None),(None: None->None)) 
Eps   64: ENVT  101: ENVR   -360.6 :EC  0:TS  101: R   -432.9 :eps 0.000:Act ((None: None->None),(Robot(R2): Node(40)->Node(5)),(None: None->None),(Robot(R4): Node(100)->Node(40)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R9): Node(65)->Node(34))) 
Eps   65: ENVT  101: ENVR   -349.3 :EC  0:TS  101: R   -282.6 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps   66: ENVT  101: ENVR   -349.3 :EC  0:TS  101: R   -418.7 :eps 0.000:Act ((None: None->None),(None: None->None),(Robot(R3): Node(76)->Node(10)),(None: None->None),(None: None->None),(Robot(R6): Node(3)->Node(69)),(None: None->None),(None: None->None),(Robot(R9): Node(97)->Node(37))) 
Eps   67: ENVT  101: ENVR   -349.3 :EC  0:TS  101: R   -318.9 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps   68: ENVT  101: ENVR   -349.3 :EC  0:TS  101: R   -376.9 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps   69: ENVT  101: ENVR   -349.3 :EC  0:TS  101: R   -383.6 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps   70: ENVT  101: ENVR   -364.4 :EC  0:TS  101: R   -332.0 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
